filename,extension,date,work,label,project
Hail cannon expo1,.jpg,2018,"Blossom landscape, church and hail cannon",Installation,"Aaneembare wereld, kraai kraait niet maar krast"
Church,.jpg,2018,"Blossom landscape, church and hail cannon",hero,"Aaneembare wereld, kraai kraait niet maar krast"
Church expo1,.jpg,2018,"Blossom landscape, church and hail cannon",Installation,"Aaneembare wereld, kraai kraait niet maar krast"
Church and hail cannon expo1,.jpg,2018,"Blossom landscape, church and hail cannon",Installation,"Aaneembare wereld, kraai kraait niet maar krast"
Church and hail cannon expo2,.jpg,2018,"Blossom landscape, church and hail cannon",Installation,"Aaneembare wereld, kraai kraait niet maar krast"
"Blossom landscape, twoducks, church and hail cannon expo1",.jpg,2018,"Blossom landscape, church and hail cannon",Installation,"Aaneembare wereld, kraai kraait niet maar krast"
Palm grass,.jpg,2018,Palm Grass,hero,"Celebrated remedy for disorder, The Probability Report"
Palm grass expo1,.jpg,2018,Palm Grass,Installation,"Celebrated remedy for disorder, The Probability Report"
Palm grass expo2,.jpg,2018,Palm Grass,Installation,"Celebrated remedy for disorder, The Probability Report"
Palm grass expo3,.jpg,2018,Palm Grass,Installation,"Celebrated remedy for disorder, The Probability Report"
Palm grass expo4,.jpg,2018,Palm Grass,Installation,"Celebrated remedy for disorder, The Probability Report"
Two ducks 1,.jpg,2018,Two Ducks,hero,kraai kraait niet maar krast
Two ducks 2,.jpg,2018,Two Ducks,hero,kraai kraait niet maar krast
Two ducks expo1,.jpg,2018,Two Ducks,Installation,kraai kraait niet maar krast
Two ducks expo2,.jpg,2018,Two Ducks,Installation,kraai kraait niet maar krast
Two ducks expo3,.jpg,2018,Two Ducks,Installation,kraai kraait niet maar krast
Two birds 1,.jpg,2018,Two Birds,hero,kraai kraait niet maar krast
Two birds 2,.jpg,2018,Two Birds,hero,kraai kraait niet maar krast
Two birds expo1,.jpg,2018,Two Birds,Installation,kraai kraait niet maar krast
Two birds expo2,.jpg,2018,Two Birds,Installation,kraai kraait niet maar krast
Leaf 1,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 2,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 3,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 4,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 5,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 6,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 7,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 8,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 9,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 10,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 11,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Leaf 12,.jpg,2018,Newborn Leaves,hero,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo1,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo2,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo3,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo4,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo5,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Newborn leaves expo6,.jpg,2018,Newborn Leaves,Installation,"The Probability Report, kraai kraait niet maar krast"
Albedo front,.png,2018,Base color,hero,The Probability Report
"Palmgrass, Albedo front, Newbornleaves expo1",.png,2018,Base color,Installation,The Probability Report
Albedo front expo2,.png,2018,Base color,Installation,The Probability Report
Albedo back,.png,2018,Base color,hero,The Probability Report
Light reflection study,.jpg,2018,Light Reflection study,hero,The Probability Report
Light reflection study expo1,.jpg,2018,Light Reflection study,Installation,The Probability Report
Multilight sunshine 1,.jpg,2018,Multilight sunshine,hero,The Probability Report
Multilight sunshine 2,.jpg,2018,Multilight sunshine,hero,The Probability Report
Multilight sunshine 3,.jpg,2018,Multilight sunshine,hero,The Probability Report
Multilight sunshine 4,.jpg,2018,Multilight sunshine,hero,The Probability Report
Sunlight PBR 1,.jpg,2018,Sunlight PBR,hero,The Probability Report
Sunlight PBR 2,.jpg,2018,Sunlight PBR,hero,The Probability Report
Veins Close-up study 1,.jpg,2018,"Close-up study ",hero,The Probability Report
Veins Close-up study 2,.jpg,2018,"Close-up study ",hero,The Probability Report
Veins Close-up study 3,.jpg,2018,"Close-up study ",hero,The Probability Report
Veins Close-up study 4,.jpg,2018,"Close-up study ",hero,The Probability Report
Veins Close-up study 5,.jpg,2018,"Close-up study ",hero,The Probability Report
Albedo sculpture study 1,.jpg,2018,Sculpture study,hero,The Probability Report
Albedo sculpture study 2,.jpg,2018,Sculpture study,hero,The Probability Report
HDRi universe grid,.png,2018,HDRi univserse,hero,The Probability Report
HDRi universe 1,.jpg,2018,HDRi univserse,hero,The Probability Report
HDRi universe 2,.jpg,2018,HDRi univserse,hero,The Probability Report
HDRi universe 3,.jpg,2018,HDRi univserse,hero,The Probability Report
HDRi universe 4,.jpg,2018,HDRi univserse,hero,The Probability Report
HDRi universe 5,.jpg,2018,HDRi univserse,hero,The Probability Report
